都道府県名,市町村名,,"告示別表第10
で定める
地域の区分","年間の
日射
地域区分","暖房期の
日射
地域区分"
,,三次市（旧三次市、旧甲奴町、旧吉舎町、旧三良坂町、旧三和町）,5,3,3
,,三次市（旧君田村、旧布野村、旧作木村）,5,3,2
35.山口県,ｱ,阿武町,6,3,2
,ｲ,岩国市（旧岩国市、旧玖珂町、旧周東町）,6,4,2
,,岩国市（旧由宇町、旧本郷村、旧錦町、旧美川町、旧美和町）,6,4,3
,ｳ,宇部市（旧宇部市）,6,4,3
,,宇部市（旧楠町）,6,4,4
,ｶ,上関町,6,5,3
,ｸ,下松市,6,4,3
,ｻ,山陽小野田市,6,4,3
,ｼ,下関市（旧下関市、旧菊川町）,7,4,3
,,下関市（旧豊田町）,5,4,1
,,下関市（旧豊浦町）,7,4,2
,,下関市（旧豊北町）,7,4,1
,,周南市,6,4,3
,ｽ,周防大島町（旧久賀町、旧大島町、旧東和町）,6,4,3
,,周防大島町（旧橘町）,6,4,2
,ﾀ,田布施町,6,4,3
,ﾅ,長門市,6,3,2
,ﾊ,萩市（旧萩市、旧川上村、旧田万川町、旧須佐町）,6,3,2
,,萩市（旧むつみ村）,5,3,2
,,萩市（旧旭村）,6,4,2
,,萩市（旧福栄村）,5,4,3
,ﾋ,光市（旧光市）,6,5,2
,,光市（旧大和町）,6,5,3
,,平生町,6,4,3
,ﾎ,防府市,6,4,3
,ﾐ,美祢市（旧美祢市）,5,4,3
,,美祢市（旧美東町、旧秋芳町）,5,4,2
,ﾔ,柳井市,6,4,3
,,山口市（旧山口市、旧徳地町、旧秋穂町、旧小郡町、旧阿知須町）,6,4,3
,,山口市（旧阿東町）,6,4,2
,ﾜ,和木町,6,4,2
36.徳島県,ｱ,藍住町,6,4,3
,,阿南市,7,4,3
,,阿波市,6,4,3
,ｲ,石井町,6,4,3
,,板野町,6,4,3
,ｶ,海陽町,7,4,4
,,勝浦町,6,4,3
,,上板町,6,4,3
,,上勝町,5,4,4
,,神山町,6,4,3
,ｷ,北島町,6,4,3
,ｺ,小松島市,7,4,3
,ｻ,佐那河内村,6,4,3
,ﾂ,つるぎ町（旧半田町、旧一宇村）,6,3,3
,,つるぎ町（旧貞光町）,6,3,4
,ﾄ,徳島市,6,4,3
,ﾅ,那賀町（旧鷲敷町、旧相生町、旧木沢村、旧木頭村）,6,4,3
,,那賀町（旧上那賀町）,6,4,4
,,鳴門市,6,4,3
,ﾋ,東みよし町,6,3,2
,ﾏ,松茂町,6,4,3
,ﾐ,美波町,7,4,4
,,美馬市（旧脇町、旧美馬町）,6,3,3
,,美馬市（旧穴吹町）,6,3,4
,,美馬市（旧木屋平村）,6,3,2
,,三好市（旧三野町、旧池田町）,5,4,2
,,三好市（旧山城町、旧井川町、旧東祖谷山村、旧西祖谷山村）,5,4,3
,ﾑ,牟岐町,6,4,4
,ﾖ,吉野川市,6,4,3
37.香川県,ｱ,綾川町,6,4,3
,ｳ,宇多津町,6,4,3
,ｶ,観音寺市,6,4,3
,ｺ,琴平町,6,4,3
,ｻ,坂出市,6,4,3
,,さぬき市,6,4,3
,ｼ,小豆島町,6,4,3
,ｾ,善通寺市,6,4,3
,ﾀ,高松市（旧高松市、旧牟礼町、旧塩江町、旧香川町、旧香南町、旧国分寺町）,6,4,3
,,高松市（旧庵治町）,6,4,2
,,多度津町,6,4,2
,ﾄ,土庄町,6,4,3
,ﾅ,直島町,6,4,3
,ﾋ,東かがわ市,6,4,3
,ﾏ,丸亀市（旧丸亀市）,6,4,2
,,丸亀市（旧綾歌町、旧飯山町）,6,4,3
,,まんのう町,6,4,3
,ﾐ,三木町,6,4,3
,,三豊市,6,4,3
38.愛媛県,ｱ,愛南町（旧内海村、旧御荘町、旧城辺町、旧一本松町）,7,4,4
,,愛南町（旧西海町）,7,4,3
,ｲ,伊方町（旧伊方町、旧三崎町）,6,4,2
,,伊方町（旧瀬戸町）,6,4,4
,,今治市（旧今治市、旧朝倉村、旧玉川町、旧波方町、旧大西町、旧菊間町、旧宮窪町、旧伯方町、旧大三島町、旧関前村）,6,4,3
,,今治市（旧吉海町、旧上浦町）,6,4,2
,,伊予市（旧伊予市、旧双海町）,6,4,2
,,伊予市（旧中山町）,6,4,3
,ｳ,内子町（旧小田町）,5,3,3
,,内子町（旧内子町、旧五十崎町）,6,3,2
,,宇和島市（旧宇和島市、旧吉田町、旧三間町）,7,4,2
,,宇和島市（旧津島町）,7,4,4
,ｵ,大洲市（旧大洲市）,6,3,2
,,大洲市（旧長浜町）,6,4,2
,,大洲市（旧肱川町）,5,3,4
,,大洲市（旧河辺村）,5,4,3
,ｶ,上島町（旧魚島村）,6,4,2
,,上島町（旧弓削町、旧生名村、旧岩城村）,6,4,3
,ｷ,鬼北町（旧広見町）,6,4,2
,,鬼北町（旧日吉村）,6,4,3
,ｸ,久万高原町,4,4,3
,ｻ,西条市（旧西条市、旧小松町）,6,4,4
,,西条市（旧東予市）,6,4,2
,,西条市（旧丹原町）,6,4,3
,ｼ,四国中央市（旧川之江市、旧土居町）,6,4,2
,,四国中央市（旧伊予三島市、旧新宮村）,6,4,3
,ｾ,西予市（旧三瓶町、旧明浜町、旧宇和町、旧城川町）,6,4,3
,,西予市（旧野村町）,6,4,4
,ﾄ,東温市（旧重信町）,6,4,3
,,東温市（旧川内町）,6,4,4
,,砥部町（旧砥部町）,6,4,3
,,砥部町（旧広田村）,6,4,2
,ﾆ,新居浜市（旧新居浜市）,7,4,2
,,新居浜市（旧別子山村）,4,4,3
,ﾏ,松前町,7,4,2
,,松野町,6,4,3
,,松山市,7,4,2
,ﾔ,八幡浜市,6,4,2
39.高知県,ｱ,安芸市,7,5,4
,ｲ,いの町（旧本川村）,4,4,3
,,いの町（旧伊野町）,6,4,4
,,いの町（旧吾北村）,5,4,3
,ｳ,馬路村,6,4,4
,ｵ,大川村,5,3,3
,,大月町,7,5,3
,,大豊町,5,3,3
,,越知町,6,4,3
,ｶ,香美市,6,4,4
,ｷ,北川村,7,4,4
,ｸ,黒潮町,6,4,3
,ｹ,芸西村,7,5,4
,ｺ,高知市,7,5,4
,,香南市,7,5,4
,ｻ,佐川町,6,4,4
,ｼ,四万十市,7,4,3
,,四万十町（旧窪川町）,6,4,3
,,四万十町（旧大正町、旧十和村）,6,4,4
,ｽ,宿毛市,7,4,4
,,須崎市,7,4,4
,ﾀ,田野町,7,4,4
,ﾂ,津野町（旧東津野村）,6,4,3
,,津野町（旧葉山村）,6,4,4
,ﾄ,東洋町,7,4,4
,,土佐市,7,5,4
,,土佐清水市,7,5,3
,,土佐町,5,4,3
,ﾅ,中土佐町（旧中土佐町）,7,4,3
,,中土佐町（旧大野見村）,7,4,4
,,奈半利町,7,4,2
,,南国市,7,5,4
,ﾆ,仁淀川町,5,4,3
,ﾋ,日高村,6,4,4
,ﾐ,三原村,6,4,4
,ﾑ,室戸市,7,5,4
,ﾓ,本山町,5,4,3
,ﾔ,安田町,7,5,4
,ﾕ,梼原町,4,4,4
40.福岡県,ｱ,赤村,6,4,2
,,朝倉市,6,4,3
,,芦屋町,7,4,1
,ｲ,飯塚市,6,4,2
,,糸島市,6,4,2
,,糸田町,6,4,2
,ｳ,うきは市,6,4,3
,,宇美町,6,4,2
,ｵ,大川市,6,4,3
,,大木町,6,4,3
,,大任町,6,4,2
,,大野城市,6,4,2
,,大牟田市,6,5,3
,,岡垣町,6,4,2
,,小郡市,6,4,3
,,遠賀町,6,4,2
,ｶ,春日市,6,4,2
,,粕屋町,7,4,2
,,嘉麻市,6,4,2
,,川崎町,6,4,2
,,香春町,6,4,2
,,苅田町,6,4,2
,ｷ,北九州市,6,4,2
,ｸ,鞍手町,6,4,2
,,久留米市,6,4,3
,ｹ,桂川町,6,4,2
,ｺ,上毛町,6,4,3
,,古賀市,6,4,2
,,小竹町,6,4,2
,ｻ,篠栗町,6,4,2
,ｼ,志免町,7,4,2
,,新宮町,7,4,1
,ｽ,須恵町,6,4,2
,ｿ,添田町,6,4,2
,ﾀ,田川市,6,4,2
,,太宰府市,6,3,2
,,大刀洗町,6,4,3
,ﾁ,筑後市,6,4,3
,,筑紫野市,6,3,2
,,築上町（旧椎田町）,6,4,2
,,築上町（旧築城町）,6,4,3
,,筑前町,6,4,3
,ﾄ,東峰村,5,4,3
,ﾅ,那珂川市,6,4,2
,,中間市,6,4,2
,ﾉ,直方市,6,4,2
,ﾋ,久山町,6,4,2
,,広川町,6,4,3
,ﾌ,"福岡市（旧福岡市
（東区,西区,早良区））",7,4,1
,,"福岡市（旧福岡市 
（博多区,中央区,南区,城南区））",7,4,3
,,福智町,6,4,2
,,福津市,6,4,2
,,豊前市,6,4,3
,ﾐ,水巻町,6,4,2
,,みやこ町,6,4,2
,,みやま市,6,4,3
,,宮若市,6,4,2
,ﾑ,宗像市,6,4,2
,ﾔ,柳川市,6,4,3
,,八女市,6,4,3
,ﾕ,行橋市,6,4,3
,ﾖ,吉富町,6,4,3
41.佐賀県,ｱ,有田町,6,4,2
,ｲ,伊万里市,6,4,2
,ｳ,嬉野市,6,4,3
,ｵ,大町町,6,4,2
,,小城市,6,4,2
,ｶ,鹿島市,6,4,3
,,上峰町,6,4,3
,,唐津市,6,4,2
,,神埼市（旧神埼町、旧千代田町）,6,4,3
,,神埼市（旧脊振村）,6,4,2
,ｷ,基山町,6,4,3
,ｹ,玄海町,6,4,2
,ｺ,江北町,6,4,2
,ｻ,佐賀市（旧佐賀市、旧諸富町、旧東与賀町、旧久保田町、旧大和町、旧富士町）,6,4,3
,,佐賀市（旧川副町、旧三瀬村）,6,4,2
,ｼ,白石町（旧白石町、旧有明町）,6,4,3
,,白石町（旧福富町）,6,4,2
,ﾀ,多久市,6,4,2
,,武雄市,6,4,2
,,太良町,6,4,3
,ﾄ,鳥栖市,6,4,3
,ﾐ,みやき町,6,4,3
,ﾖ,吉野ヶ里町,6,4,3
42.長崎県,ｲ,壱岐市,7,4,2
,,諫早市（旧諫早市）,7,4,3
,,諫早市（旧多良見町、旧飯盛町）,7,4,2
,,諫早市（旧森山町、旧高来町、旧小長井町）,7,4,4
,ｳ,雲仙市（旧国見町、旧瑞穂町、旧吾妻町、旧愛野町、旧千々石町）,7,4,4
,,雲仙市（旧小浜町）,6,4,2
,,雲仙市（旧南串山町）,7,4,3
,ｵ,大村市,7,4,2
,,小値賀町,7,4,1
,ｶ,川棚町,6,4,2
,ｺ,五島市,7,4,1
,ｻ,西海市（旧西彼町、旧大島町）,7,4,2
,,西海市（旧西海町、旧崎戸町、旧大瀬戸町）,7,4,3
,,佐々町,6,4,3
,,佐世保市（旧佐世保市、旧宇久町、旧江迎町、旧吉井町）,6,4,3
,,佐世保市（旧鹿町町、旧小佐々町）,6,4,2
,,佐世保市（旧世知原町）,6,4,4
,ｼ,島原市（旧島原市）,7,4,4
,,島原市（旧有明町）,7,4,3
,,新上五島町（旧若松町、旧有川町）,7,3,1
,,新上五島町（旧上五島町、旧新魚目町）,7,3,2
,,新上五島町（旧奈良尾町）,7,3,3
,ﾂ,対馬市,6,4,3
,ﾄ,時津町,7,4,3
,ﾅ,長崎市（旧長崎市、旧高島町、旧野母崎町、旧三和町）,7,4,3
,,長崎市（旧香焼町）,7,4,4
,,長崎市（旧伊王島町、旧琴海町、旧外海町）,7,4,2
,,長与町,7,4,3
,ﾊ,波佐見町,6,4,2
,ﾋ,東彼杵町,6,4,3
,,平戸市（旧平戸市）,7,4,2
,,平戸市（旧大島村）,7,4,4
,,平戸市（旧生月町）,7,4,1
,,平戸市（旧田平町）,7,4,3
,ﾏ,松浦市,6,4,2
,ﾐ,南島原市（旧加津佐町）,7,4,3
,,南島原市（旧口之津町、旧南有馬町、旧北有馬町、旧西有家町、旧有家町、旧布津町、旧深江町）,7,4,4
43.熊本県,ｱ,あさぎり町,6,4,3
,,芦北町,7,4,4
,,阿蘇市,5,4,3
,,天草市（旧本渡市、旧御所浦町）,7,4,3
,,天草市（旧牛深市、旧有明町、旧新和町、旧五和町、旧天草町、旧河浦町）,7,4,2
,,天草市（旧倉岳町、旧栖本町）,7,4,4
,,荒尾市,6,5,3
,ｲ,五木村,5,4,4
,ｳ,宇城市（旧三角町）,7,4,3
,,宇城市（旧不知火町、旧松橋町、旧小川町、旧豊野町）,7,4,2
,,宇土市,7,4,2
,,産山村,5,4,4
,ｵ,大津町,6,4,4
,,小国町,5,3,3
,ｶ,嘉島町,7,4,2
,,上天草市（旧大矢野町、旧松島町、旧龍ケ岳町）,7,4,2
,,上天草市（旧姫戸町）,7,4,4
,ｷ,菊池市（旧菊池市、旧旭志村）,6,4,4
,,菊池市（旧七城町、旧泗水町）,6,4,3
,,菊陽町,6,4,3
,,玉東町,6,4,3
,ｸ,球磨村,6,4,3
,,熊本市,7,4,2
,ｺ,甲佐町,6,4,3
,,合志市,6,4,3
,ｻ,相良村,6,4,3
,ﾀ,高森町,5,4,4
,,玉名市,6,4,3
,,多良木町,6,4,3
,ﾂ,津奈木町,7,4,4
,ﾅ,長洲町,7,4,2
,,和水町,6,4,3
,,南関町,6,4,3
,ﾆ,錦町,6,4,3
,,西原村,6,4,4
,ﾋ,氷川町,7,4,2
,,人吉市,6,4,3
,ﾏ,益城町,6,4,3
,ﾐ,美里町,6,4,3
,,水上村,5,4,4
,,水俣市,7,4,4
,,南阿蘇村,5,4,3
,,南小国町,5,3,3
,,御船町,6,4,3
,ﾔ,八代市（旧八代市、旧千丁町、旧鏡町）,7,4,3
,,八代市（旧坂本村、旧東陽村）,6,4,3
,,八代市（旧泉村）,5,4,3
,,山江村,6,4,3
,,山鹿市（旧山鹿市、旧鹿北町、旧鹿本町、旧鹿央町）,6,4,3
,,山鹿市（旧菊鹿町）,6,4,4
,,山都町（旧蘇陽町、旧清和村）,5,4,4
,,山都町（旧矢部町）,5,4,3
,ﾕ,湯前町,6,4,4
,ﾚ,苓北町,7,4,2
44.大分県,ｳ,宇佐市,6,4,3
,,臼杵市,6,4,3
,ｵ,大分市（旧大分市、旧佐賀関町）,7,4,3
,,大分市（旧野津原町）,6,4,3
,ｷ,杵築市（旧杵築市、旧大田村）,6,4,3
,,杵築市（旧山香町）,6,4,2
,ｸ,玖珠町,5,4,3
,,国東市,6,4,3
,ｺ,九重町,5,4,3
,ｻ,佐伯市（旧佐伯市）,7,4,4
,,佐伯市（旧上浦町、旧弥生町、旧米水津村）,7,4,2
,,佐伯市（旧本匠村、旧直川村、旧鶴見町、旧蒲江町）,7,4,3
,,佐伯市（旧宇目町）,5,4,2
,ﾀ,竹田市,6,4,3
,ﾂ,津久見市,6,4,3
,ﾅ,中津市,6,4,3
,ﾋ,日出町,6,4,2
,,日田市（旧日田市）,6,4,3
,,日田市（旧前津江村、旧中津江村、旧上津江村、旧大山町、旧天瀬町）,6,4,2
,,姫島村,6,4,3
,ﾌ,豊後大野市（旧三重町、旧清川村、旧大野町、旧千歳村、旧犬飼町）,6,4,4
,,豊後大野市（旧緒方町、旧朝地町）,6,4,3
,,豊後高田市,6,4,3
,ﾍ,別府市,6,4,4
,ﾕ,由布市（旧挾間町）,6,4,4
,,由布市（旧庄内町）,6,4,3
,,由布市（旧湯布院町）,5,4,3
45.宮崎県,ｱ,綾町,7,4,4
,ｴ,えびの市,6,4,3
,ｶ,門川町,7,5,4
,,川南町,7,4,4
,ｷ,木城町,7,4,4
,ｸ,串間市,7,4,3
,,国富町,7,4,4
,ｺ,五ヶ瀬町,5,4,4
,,小林市（旧小林市、旧須木村）,6,4,3
,,小林市（旧野尻町）,6,4,4
,ｻ,西都市,7,4,4
,ｼ,椎葉村,5,4,3
,,新富町,7,4,3
,ﾀ,高千穂町,6,4,3
,,高鍋町,7,5,4
,,高原町,6,4,4
,ﾂ,都農町,7,4,4
,ﾆ,西米良村,6,4,4
,,日南市（旧日南市、旧北郷町）,7,4,3
,,日南市（旧南郷町）,7,4,2
,ﾉ,延岡市,7,4,4
,ﾋ,日之影町,6,4,4
,,日向市,7,5,4
,ﾐ,美郷町,6,4,4
,,三股町,7,4,4
,,都城市（旧都城市、旧山田町、旧高崎町）,7,4,3
,,都城市（旧山之口町、旧高城町）,7,4,4
,,宮崎市（旧宮崎市、旧清武町、旧田野町、旧佐土原町）,7,4,3
,,宮崎市（旧高岡町）,7,4,4
,ﾓ,諸塚村,6,4,4
46.鹿児島県,ｱ,姶良市,7,4,4
,,阿久根市,7,4,2
,,天城町,8,5,定義なし
,,奄美市,8,3,定義なし
,ｲ,伊佐市,6,4,3
,,出水市（旧出水市）,7,4,3
,,出水市（旧野田町、旧高尾野町）,7,4,2
,,伊仙町,8,5,定義なし
,,いちき串木野市,7,4,2
,,指宿市,7,4,2
,ｳ,宇検村,8,4,定義なし
,ｵ,大崎町,7,4,4
,ｶ,鹿児島市（旧鹿児島市、旧桜島町、旧喜入町、旧松元町、旧郡山町）,7,4,2
,,鹿児島市（旧吉田町）,7,4,3
,,鹿屋市（旧鹿屋市、旧輝北町、旧串良町）,7,4,4
,,鹿屋市（旧吾平町）,7,4,3
,ｷ,喜界町,8,2,定義なし
,,肝付町,7,4,2
,,霧島市（旧国分市、旧溝辺町、旧隼人町、旧福山町）,7,4,4
,,霧島市（旧横川町、旧牧園町、旧霧島町）,7,4,3
,,錦江町,7,4,3
,ｻ,薩摩川内市（旧川内市、旧里村、旧上甑村、旧下甑村、旧鹿島村）,7,4,2
,,薩摩川内市（旧樋脇町、旧入来町、旧東郷町）,7,4,3
,,薩摩川内市（旧祁答院町）,7,4,4
,,さつま町,7,4,2
,ｼ,志布志市,7,4,4
,ｾ,瀬戸内町,8,4,定義なし
,ｿ,曽於市,7,4,3
,ﾀ,龍郷町,8,3,定義なし
,,垂水市,7,4,3
,ﾁ,知名町,8,5,定義なし
,ﾄ,徳之島町,8,5,定義なし
,,十島村,7,4,1
,ﾅ,長島町,7,4,2
,,中種子町,7,4,1
,ﾆ,西之表市,7,4,1
,ﾋ,日置市,7,4,2
,,東串良町,7,4,2
,ﾏ,枕崎市,7,4,2
,ﾐ,三島村,7,4,1
,,南大隅町（旧根占町）,7,4,3
,,南大隅町（旧佐多町）,7,4,2
,,南九州市,7,4,2
,,南さつま市,7,4,1
,,南種子町,7,3,1
,ﾔ,屋久島町,7,3,1
,,大和村,8,4,定義なし
,ﾕ,湧水町,6,4,3
,ﾖ,与論町,8,5,定義なし
,ﾜ,和泊町,8,5,定義なし
47.沖縄県,ｱ,粟国村,8,5,定義なし
,ｲ,伊江村,8,5,定義なし
,,石垣市,8,5,定義なし
,,伊是名村,8,5,定義なし
,,糸満市,8,4,定義なし
,,伊平屋村,8,5,定義なし
,ｳ,浦添市,8,5,定義なし
,,うるま市（旧石川市、旧具志川市）,8,5,定義なし
,,うるま市（旧与那城町、旧勝連町）,8,4,定義なし
,ｵ,大宜味村,8,4,定義なし
,,沖縄市,8,5,定義なし
,,恩納村,8,5,定義なし
,ｶ,嘉手納町,8,5,定義なし
,ｷ,北大東村,8,5,定義なし
,,北中城村,8,5,定義なし
,,宜野座村,8,5,定義なし
,,宜野湾市,8,5,定義なし
,,金武町,8,5,定義なし
,ｸ,国頭村,8,4,定義なし
,,久米島町,8,5,定義なし
,ｻ,座間味村,8,4,定義なし
,ﾀ,竹富町,8,5,定義なし
,,多良間村,8,5,定義なし
,ﾁ,北谷町,8,5,定義なし
,ﾄ,渡嘉敷村,8,4,定義なし
,,渡名喜村,8,5,定義なし
,,豊見城市,8,5,定義なし
,ﾅ,中城村,8,5,定義なし
,,今帰仁村,8,5,定義なし
,,名護市,8,5,定義なし
,,那覇市,8,5,定義なし
,,南城市,8,4,定義なし
,ﾆ,西原町,8,5,定義なし
,ﾊ,南風原町,8,5,定義なし
,ﾋ,東村,8,4,定義なし
,ﾐ,南大東村,8,5,定義なし
,,宮古島市,8,5,定義なし
,ﾓ,本部町,8,5,定義なし
,ﾔ,八重瀬町（旧東風平町）,8,5,定義なし
,,八重瀬町（旧具志頭村）,8,4,定義なし
,ﾖ,与那国町,8,4,定義なし
,,与那原町,8,5,定義なし
,,読谷村,8,5,定義なし
